state,jurisdiction_id,ahj,cell_count,project_families,strict_classifications,source_statuses
AL,us-al-jefferson_county,Jefferson County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-lee_county,Lee County,1,residential_remodel,EXACT_COMPLETE,PUBLISHABLE
AL,us-al-madison,Madison,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-madison_county,Madison County,1,residential_remodel,EXACT_COMPLETE,PUBLISHABLE
AL,us-al-mobile,Mobile,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-mobile_county,Mobile County,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-montgomery,Montgomery,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-montgomery_county,Montgomery County,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-mountain_brook,Mountain Brook,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-northport,Northport,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-oneonta,Oneonta,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-opelika,Opelika,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-oxford,Oxford,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-pelham,Pelham,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-phenix_city,Phenix City,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-prattville,Prattville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-scottsboro,Scottsboro,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-selma,Selma,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-shelby_county,Shelby County,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-talladega,Talladega,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-troy,Troy,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-trussville,Trussville,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-tuscaloosa,Tuscaloosa,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-vestavia_hills,Vestavia Hills,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AL,us-al-wetumpka,Wetumpka,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-arkadelphia,Arkadelphia,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-batesville,Batesville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-bella_vista,Bella Vista,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-benton,Benton,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-bentonville,Bentonville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-blytheville,Blytheville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-bryant,Bryant,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-camden,Camden,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-centerton,Centerton,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
